id,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi
281,1714,no,1.6,1,9,1,59,0.5,186,8,19,991,1274,2546,18,10,11,1,1,yes
282,1395,yes,0.6,0,5,0,38,0.3,167,6,16,896,1501,915,5,4,6,1,1,no
283,786,no,1.8,1,2,0,28,0.5,198,1,7,3,1058,331,14,2,2,1,0,yes
284,1687,no,1.2,1,4,0,14,0.9,120,2,14,924,1461,3975,19,3,10,0,1,yes
285,669,yes,2.6,1,18,1,10,0.6,171,5,20,1300,1834,2801,6,2,10,1,0,no
286,1423,yes,2.1,0,1,0,51,0.8,178,4,18,633,1371,3331,8,2,8,1,1,no
287,1600,no,2,1,5,0,44,0.1,98,1,8,735,1205,2939,8,3,19,1,1,yes
288,1621,yes,0.6,1,14,0,59,0.7,160,7,16,213,1120,2706,12,3,20,1,0,no
289,1672,yes,1.9,0,10,0,37,0.3,194,7,15,495,839,1335,7,1,8,0,1,yes
290,1934,no,2.7,0,9,1,48,0.1,128,4,18,475,853,3370,7,6,2,1,0,yes
291,1650,yes,0.6,0,0,0,62,0.3,81,3,15,1305,1918,2596,5,2,10,0,0,no
292,1700,no,0.5,1,1,0,33,0.8,189,5,2,382,1151,2477,9,8,3,0,0,yes
293,1550,yes,2,0,1,1,29,0.6,171,5,2,572,1499,3465,10,1,14,1,1,no
294,626,no,1.9,0,4,0,8,0.2,185,2,6,16,1410,2589,15,10,14,0,1,yes
295,1737,yes,2,1,0,0,14,0.4,156,5,2,1028,1757,2363,8,0,10,1,0,yes
296,1370,no,1.7,0,1,0,6,0.7,113,1,7,482,1689,1302,7,3,3,0,0,yes
297,1899,yes,0.8,1,15,0,14,0.4,191,4,16,1200,1345,1677,5,1,14,0,0,yes
298,848,yes,0.6,0,0,0,31,0.7,123,5,1,299,756,1108,15,6,18,1,1,no
299,1430,yes,2,1,0,1,16,0.2,171,4,1,696,757,2916,6,3,10,1,1,no
300,768,yes,0.5,1,1,0,45,0.1,175,4,16,1164,1376,3947,6,1,12,1,1,no
301,1856,yes,1.9,1,9,1,15,0.5,160,3,14,450,714,1514,7,1,13,1,1,no
302,900,yes,0.5,0,11,1,64,0.7,149,4,12,164,708,942,13,5,2,1,1,no
303,1729,no,2.3,1,0,0,38,0.2,136,7,8,77,1910,700,8,2,7,1,1,yes
304,1533,yes,2.8,0,3,0,42,0.2,87,1,13,1316,1618,3246,10,2,8,0,1,no
305,1210,yes,2.3,0,0,0,63,0.9,141,6,4,51,1761,977,14,6,20,1,0,no
306,1880,yes,1.8,1,1,1,10,0.5,198,8,4,1664,1708,3538,19,16,17,1,0,yes
307,996,no,0.5,1,14,0,61,0.8,174,7,15,400,989,1235,11,10,16,1,1,yes
308,1175,no,3,1,12,1,40,0.1,172,5,18,812,1251,1507,15,14,18,1,1,no
309,1773,no,0.5,1,7,0,33,0.3,143,5,13,831,1170,1994,16,9,20,1,0,no
310,1263,no,2.4,1,11,1,54,0.6,100,5,14,12,1857,458,12,5,15,1,0,no
311,1956,no,1.2,1,10,1,5,0.8,156,4,11,870,1753,2130,7,3,10,1,1,yes
312,992,no,1.6,1,10,0,27,0.3,162,4,14,106,767,3894,15,9,13,1,0,yes
313,911,yes,1.7,0,1,1,13,0.3,126,5,2,713,760,1843,13,6,11,1,0,yes
314,1979,no,0.5,1,15,0,54,0.3,136,3,19,669,1311,3151,12,1,20,1,1,yes
315,1899,no,0.5,1,0,1,55,0.3,93,4,0,1359,1981,1796,7,4,11,1,0,yes
316,1649,yes,0.8,1,1,1,40,0.1,159,3,3,177,586,2755,15,9,3,1,0,yes
317,1095,yes,1.8,1,9,0,47,0.3,152,6,15,354,1827,1334,12,2,12,0,0,yes
318,1074,no,0.7,0,0,1,61,0.6,117,4,11,305,1770,2791,7,1,12,1,0,yes
319,656,no,2.7,1,0,1,48,0.2,164,2,0,303,508,1132,5,0,14,1,0,no
320,1394,yes,2.7,1,7,0,8,0.8,150,3,9,215,1018,730,15,7,4,0,1,yes
321,1632,yes,1.1,0,2,1,45,0.8,132,4,3,22,1256,379,18,13,19,1,0,no
322,1225,no,2.9,0,13,0,35,0.5,128,3,17,1324,1490,1261,12,4,15,0,0,no
323,1337,yes,2.4,1,0,0,48,0.9,107,6,2,819,1129,3213,10,5,15,0,0,no
324,1178,yes,1.1,1,0,1,11,0.5,98,2,1,1549,1661,2106,17,10,4,1,0,yes
325,1269,no,1.5,1,1,0,51,0.7,180,4,19,410,1782,827,15,6,12,1,1,no
326,1526,yes,1.2,0,7,1,32,0.5,128,4,12,1152,1592,647,19,3,18,1,0,yes
327,986,no,0.7,1,7,1,16,0.4,144,8,9,234,628,300,8,5,7,1,0,yes
328,848,no,0.5,1,1,1,41,0.2,171,2,2,388,1015,3939,6,3,3,1,1,no
329,1904,yes,0.5,1,8,0,14,0.5,95,4,13,636,828,2091,8,0,6,0,1,yes
330,803,yes,2.2,1,0,0,16,0.1,105,1,0,199,736,1492,17,12,18,1,0,no
331,1399,yes,1.9,1,1,0,56,0.3,153,1,15,130,611,3128,17,2,19,1,1,no
332,788,yes,1.5,1,0,1,22,0.5,163,4,6,1114,1732,3750,13,10,12,1,0,yes
333,579,yes,1.1,0,6,1,58,0.2,125,1,9,786,1685,1435,18,9,10,1,0,no
334,1010,no,0.7,1,4,1,28,0.5,195,8,5,117,841,3302,14,2,7,1,1,no
335,530,yes,0.5,1,0,0,47,0.5,93,3,2,463,912,3455,19,8,2,1,1,yes
336,1289,yes,1.8,0,1,0,64,0.6,125,7,14,173,548,2782,9,3,14,0,0,yes
337,1877,yes,0.5,0,4,0,10,0.9,123,8,6,134,610,3969,6,0,7,0,0,yes
338,1764,no,2.7,0,11,1,48,0.9,90,7,17,444,581,1589,19,10,20,1,1,yes
339,1709,no,2.2,1,1,1,13,0.6,191,6,6,74,516,3899,16,13,3,1,0,yes
340,1690,no,1.3,1,0,0,28,0.9,85,3,1,1304,1332,3571,18,2,6,1,0,yes
341,600,no,2.5,1,3,0,9,0.2,145,4,10,584,714,2800,17,6,5,0,1,no
342,743,no,0.5,0,9,1,53,0.3,149,2,10,670,1070,2938,9,3,13,1,1,yes
343,1850,no,2.2,1,9,0,41,0.8,133,8,13,27,518,3032,8,1,10,1,1,yes
344,1297,no,0.5,1,12,0,17,0.1,196,1,14,559,813,3652,19,4,12,0,1,yes
345,1706,no,1.8,1,10,1,44,0.2,137,5,13,716,1440,3238,5,3,20,1,0,no
346,1967,no,0.5,0,11,1,23,0.6,135,5,16,931,1726,325,16,0,3,1,0,yes
347,1392,yes,0.5,1,6,0,63,0.5,181,2,9,573,1468,3850,12,8,13,0,1,no
348,1248,yes,2.1,1,2,1,12,0.1,170,2,3,328,1378,1266,11,0,6,1,1,no
349,894,yes,0.5,1,2,0,27,0.3,192,2,6,932,1576,3454,9,4,14,0,1,no
350,1829,no,0.5,0,2,1,54,0.6,98,3,20,383,1160,1634,7,0,12,1,0,no
351,1372,no,0.6,0,3,1,42,0.7,124,6,10,68,1998,3208,18,5,9,1,1,yes
352,1429,yes,1,0,7,0,11,0.7,150,4,8,436,813,1955,7,5,2,1,1,no
353,706,no,0.5,1,10,1,4,0.8,190,5,18,204,966,3735,12,7,20,1,1,yes
354,649,no,1.9,0,0,0,51,0.6,179,4,12,1174,1388,3446,11,5,18,0,1,yes
355,1137,yes,0.8,0,3,1,7,1,122,3,18,537,620,946,13,4,7,1,0,yes
356,1320,yes,0.5,1,11,1,6,0.2,164,1,14,1034,1836,1626,11,9,14,1,0,yes
357,792,no,0.8,0,7,0,48,0.5,144,4,16,371,888,1583,15,2,20,0,1,yes
358,918,yes,2.7,0,7,0,25,0.9,149,7,8,178,1850,3676,6,2,2,1,0,yes
359,929,yes,0.5,1,7,1,13,1,146,7,8,213,1714,1704,15,2,5,1,0,no
360,767,yes,0.5,1,4,0,30,0.8,100,5,8,798,1955,3485,9,1,4,1,0,yes
361,1739,no,2.6,0,9,0,39,0.5,135,8,10,86,1957,1882,13,12,8,1,1,no
362,1315,no,0.5,0,0,1,15,0.4,134,1,0,489,624,3928,8,4,8,1,0,yes
363,1388,no,1.4,1,4,1,31,0.6,184,1,14,1338,1443,346,8,2,12,1,0,no
364,1981,no,2.5,1,1,0,36,0.3,94,4,2,128,1457,395,9,7,15,0,1,no
365,569,no,0.5,1,1,1,53,1,170,8,20,457,1555,1243,17,10,10,1,1,no
366,1930,no,1.3,0,2,0,57,0.2,151,1,9,678,1117,682,16,10,8,0,0,yes
367,725,yes,0.5,0,10,0,61,0.8,108,3,17,260,508,3074,7,6,12,0,0,yes
368,1690,no,2.2,0,0,0,51,0.8,130,8,15,713,1092,451,6,4,7,0,0,yes
369,712,yes,1.4,0,1,1,33,0.2,86,4,5,163,799,1471,15,0,10,1,0,no
370,1603,yes,0.5,1,8,1,37,1,95,8,9,1430,1622,1748,15,10,5,1,1,no
371,1850,yes,2.8,0,0,0,18,0.1,132,8,3,633,1382,1853,15,0,9,1,1,no
372,1472,yes,0.7,1,4,1,41,1,145,3,6,242,619,1514,8,1,16,1,1,yes
373,1858,no,0.7,1,1,1,43,0.2,167,5,3,1154,1473,1886,9,3,7,1,1,yes
374,1543,yes,2.6,1,0,1,46,0.8,116,8,13,48,679,3023,6,4,4,1,1,no
375,652,yes,2.8,1,4,0,37,0.8,174,6,11,416,1652,2904,16,8,16,0,0,no
376,546,no,1.8,1,6,1,55,0.9,100,6,12,493,1477,628,12,3,10,1,1,yes
377,1408,yes,1.4,1,1,0,6,0.9,145,8,3,621,692,1833,9,1,19,0,1,no
378,1021,no,1.5,1,3,1,31,0.1,97,7,10,189,1327,1066,18,15,17,1,1,yes
379,567,no,1.4,1,14,0,60,0.1,111,2,15,152,1326,1150,17,16,4,1,0,yes
380,1967,yes,2.6,1,4,0,62,1,91,8,10,1355,1850,2839,13,7,10,1,0,no
381,1658,no,2,1,8,1,61,0.1,180,3,20,443,1100,2857,7,1,5,1,0,yes
382,1088,yes,3,1,2,1,52,0.3,164,7,4,86,588,1447,19,16,15,1,1,yes
383,542,yes,0.7,0,2,1,12,0.2,185,2,3,1674,1969,3445,17,2,4,1,1,yes
384,788,no,1.6,1,6,1,52,0.1,96,1,20,530,1436,1941,14,0,19,1,1,no
385,576,yes,2.5,1,10,0,57,0.7,179,5,15,1009,1656,2522,11,5,12,0,1,no
386,950,yes,1.6,0,5,1,41,0.5,188,3,20,193,727,2932,10,7,20,1,0,no
387,518,yes,0.8,0,3,1,17,0.5,133,3,7,564,765,2239,7,3,7,1,1,yes
388,1996,yes,1.9,0,4,0,55,0.3,81,7,8,890,1661,1852,8,2,4,0,1,yes
389,1197,no,2.9,0,6,1,38,0.1,83,6,17,1516,1910,3525,13,9,16,1,0,no
390,1006,yes,2.5,1,9,0,14,0.7,186,1,12,348,640,1955,17,6,9,1,1,no
391,1679,yes,1.5,0,2,1,4,0.1,133,4,3,349,531,1557,16,15,12,1,0,yes
392,1262,no,1.4,1,7,1,64,0.1,116,7,16,37,1018,3060,5,1,4,1,1,yes
393,560,no,1.3,1,13,0,29,1,160,1,19,906,1189,2832,16,1,7,1,0,no
394,904,no,2.4,0,5,1,55,0.6,158,4,13,529,764,2008,6,1,16,1,0,no
395,1834,yes,2.1,0,1,1,55,0.1,137,3,10,670,1179,2420,15,3,8,1,0,yes
396,681,no,1.2,1,8,0,13,0.8,87,3,17,288,621,292,12,10,18,0,0,yes
397,687,no,0.6,1,13,1,14,0.4,185,2,16,721,1620,1580,19,4,19,1,1,yes
398,863,no,2.9,0,11,1,52,0.8,119,6,13,1060,1547,1345,7,0,20,1,0,no
399,518,yes,2.7,0,0,1,45,0.7,159,6,15,564,739,1208,10,9,9,1,1,no
400,1488,no,1.8,0,0,1,2,0.1,124,4,0,765,777,3349,17,6,2,1,0,no
401,944,no,2.4,0,0,0,35,0.5,127,3,1,7,719,2804,9,4,10,1,1,no
402,1283,no,0.5,1,6,0,48,0.5,176,6,9,880,964,1182,11,8,17,1,1,no
403,817,yes,1,1,13,1,40,0.8,140,4,17,1180,1790,436,19,6,14,1,0,yes
404,804,no,2.6,1,2,0,49,0.6,105,1,18,638,939,2256,16,1,7,1,0,yes
405,1883,yes,2.6,0,2,1,50,0.1,169,5,3,313,561,427,17,8,10,1,0,yes
406,1177,no,0.5,0,5,1,2,0.9,141,7,12,490,793,715,19,5,4,1,0,no
407,1765,yes,2,0,7,0,18,0.9,85,4,8,791,1580,1199,7,4,10,1,0,no
408,1997,no,2.1,0,10,1,60,0.7,84,8,16,1130,1687,788,17,15,8,1,0,yes
409,989,yes,2.6,1,1,0,14,0.2,148,4,11,513,1089,507,13,10,13,0,1,yes
410,1370,yes,0.6,1,0,1,56,0.5,124,6,3,919,1113,974,5,4,15,1,0,no
411,861,no,0.5,0,0,0,64,0.8,105,7,1,1376,1864,600,15,1,12,0,1,no
412,1745,no,1.8,0,0,0,45,0.1,110,2,2,1070,1445,2352,11,9,16,1,0,yes
413,1187,no,0.6,1,0,1,4,0.7,92,8,0,709,1306,2518,14,12,20,1,1,yes
414,1422,yes,1.8,0,12,0,3,0.9,145,1,13,1023,1223,3941,9,7,2,0,0,no
415,658,yes,2.4,0,0,1,38,1,94,8,1,479,1300,2585,19,2,8,1,0,no
416,1180,yes,2.3,1,0,1,32,0.8,97,2,1,1603,1762,3504,17,7,10,1,1,yes
417,521,yes,2.6,1,1,1,64,0.8,200,4,11,575,1089,834,6,5,12,1,1,yes
418,666,no,1.1,0,1,1,28,0.9,179,1,13,157,1466,3850,7,5,9,1,1,yes
419,805,yes,1.5,0,0,0,25,0.3,174,2,3,522,553,1580,15,13,3,1,0,no
420,1008,yes,2.9,0,0,0,39,0.9,161,6,5,565,1228,3589,14,1,18,1,0,yes
421,986,no,2.8,0,0,1,26,0.1,80,8,9,0,1214,1316,7,5,8,1,0,no
422,1655,no,2,0,0,0,23,0.6,192,2,1,586,641,1872,11,9,13,1,1,no
423,1391,yes,0.5,0,0,1,53,0.2,114,5,1,996,1521,1114,8,0,17,1,0,yes
424,1042,yes,0.5,1,11,0,13,0.1,148,3,20,98,569,1715,17,7,7,1,1,yes
425,916,yes,1.1,1,5,1,44,0.9,116,3,16,893,1132,2367,8,5,7,1,0,yes
426,681,no,2.6,0,1,0,29,0.9,162,3,7,1262,1332,575,15,5,4,1,1,yes
427,1224,yes,1.1,1,1,1,34,1,138,6,3,1545,1751,2992,13,5,3,1,1,no
428,1234,no,2.1,1,4,1,44,0.4,107,3,17,797,1054,2819,13,3,8,1,0,yes
429,1093,yes,2.7,0,8,0,63,0.5,138,8,9,605,1966,3556,13,2,13,0,0,yes
430,583,no,0.5,0,9,1,33,0.9,136,5,18,1673,1774,3236,12,9,13,1,0,no
431,1598,yes,1,1,8,1,49,0.5,115,2,14,537,1233,1313,12,2,7,1,1,no
432,1988,yes,2.8,1,3,0,34,0.4,163,3,16,1221,1981,2872,7,6,20,1,1,yes
433,1746,no,0.5,1,9,0,51,0.8,184,7,19,754,790,1822,18,17,15,0,1,no
434,907,yes,2.7,0,8,0,53,0.7,156,2,13,10,1881,3469,8,5,12,1,0,no
435,1472,no,0.5,0,3,1,53,0.7,103,1,4,438,690,2001,14,0,14,1,1,yes
436,916,yes,1.3,0,5,0,10,0.8,173,4,8,43,1012,3706,9,8,15,0,1,no
437,1427,yes,0.8,1,2,0,31,0.9,186,1,20,934,1005,2542,7,6,10,0,0,no
438,1101,yes,2.9,1,3,0,5,0.5,141,5,7,90,642,1567,15,2,11,1,1,no
439,723,yes,0.5,0,0,0,36,0.8,104,4,0,263,514,2669,17,6,16,0,0,yes
440,1403,no,0.7,1,4,0,32,0.1,117,1,5,257,551,2499,16,10,4,0,0,yes
441,657,yes,0.8,1,4,0,45,0.1,87,1,6,843,1260,2273,15,12,10,0,1,no
442,1688,yes,0.8,0,0,0,14,0.9,118,1,2,48,1425,1773,13,0,18,1,1,yes
443,1086,no,0.5,0,10,0,35,0.6,125,7,17,577,1296,421,7,5,6,1,0,yes
444,876,yes,1.1,0,2,1,48,0.9,196,2,3,524,1225,630,17,9,18,1,0,yes
445,1065,no,0.5,0,0,0,25,0.6,189,6,1,776,996,1114,5,1,19,0,0,yes
446,1235,no,1.5,0,3,0,33,0.1,164,8,16,633,1891,1623,10,3,20,1,1,yes
447,1959,yes,2.7,0,0,1,2,0.2,92,3,11,992,1418,2125,14,7,8,1,1,no
448,650,yes,1.5,0,12,0,48,0.8,187,4,14,986,1291,1622,8,6,19,1,1,yes
449,1465,yes,2.9,0,0,0,38,0.3,88,1,7,478,613,1162,14,10,10,1,1,yes
450,1030,no,0.9,0,6,1,29,0.1,113,1,7,174,624,3762,5,4,12,1,0,no
451,853,yes,1.9,1,17,1,26,0.5,94,6,18,114,817,3069,19,17,20,1,0,no
452,744,yes,2.2,0,6,1,52,0.9,196,4,7,268,600,1571,7,5,18,1,1,yes
453,583,yes,1.1,1,15,0,24,0.4,168,2,19,301,1111,3260,14,6,14,1,1,no
454,690,no,0.5,0,2,0,62,0.3,88,1,9,633,1240,3206,16,10,19,1,0,no
455,683,yes,1.9,1,16,1,56,0.1,190,1,17,144,585,592,17,9,3,1,0,no
456,590,no,2.3,1,2,0,30,0.3,178,3,14,486,825,1188,18,11,14,1,0,yes
457,1266,yes,1,0,0,1,2,0.7,87,7,1,640,1357,3067,11,10,16,1,0,yes
458,815,yes,1.8,0,9,0,18,0.9,83,7,12,243,525,2131,17,7,5,0,1,no
459,1893,yes,1.5,1,0,1,42,0.5,179,1,3,1133,1851,1425,19,1,10,1,0,no
460,1202,no,2.5,1,3,0,22,0.4,112,2,8,1900,1959,291,5,2,4,0,0,no
461,1577,yes,1.5,0,16,1,3,0.7,180,8,17,523,573,3116,13,6,16,1,1,no
462,1234,no,2.9,0,8,1,44,0.8,129,1,12,1783,1891,2440,7,4,19,1,1,no
463,717,no,1.8,0,1,1,25,0.4,173,5,8,668,1587,3631,6,5,6,1,0,yes
464,1074,yes,1.5,0,5,0,35,0.6,193,4,13,269,597,1104,16,10,15,0,1,no
465,1439,yes,1.2,0,11,1,58,0.2,183,1,20,794,1552,3069,17,11,2,1,1,no
466,983,yes,1.6,0,7,1,55,0.4,168,8,8,205,963,1425,14,0,4,1,1,no
467,1988,no,2.5,0,7,1,63,0.6,153,4,11,615,937,2276,13,7,11,1,0,no
468,1692,no,1.3,1,0,1,25,0.7,149,3,12,1111,1898,3192,9,4,3,1,1,yes
469,718,yes,0.5,1,2,0,35,0.9,181,4,5,1226,1763,3021,10,4,12,0,0,yes
470,1519,no,0.5,0,0,1,36,0.6,93,8,2,661,1852,3082,18,11,9,1,0,no
471,776,no,3,1,9,0,9,0.5,110,2,12,584,974,1346,5,2,3,0,0,yes
472,881,yes,2.8,0,1,0,36,0.5,167,1,6,1381,1444,2354,19,10,5,1,1,yes
473,1018,no,0.6,1,0,1,25,0.8,152,7,2,292,616,732,12,8,13,1,1,no
474,1031,yes,0.5,1,2,1,31,0.1,82,8,19,737,1404,2305,10,4,4,1,1,no
475,875,no,1,0,14,0,37,0.6,151,7,20,1289,1668,2985,6,1,9,1,1,yes
476,1341,no,1,0,5,1,40,0.2,128,5,12,1434,1700,265,19,3,3,1,1,yes
477,560,yes,2.4,0,4,1,5,0.3,106,1,8,1338,1386,2050,18,13,6,1,0,no
478,1719,no,2.1,0,0,1,63,0.7,189,7,2,589,1637,1669,14,0,13,1,0,yes
479,1703,no,1.6,0,16,1,43,1,139,8,17,178,1972,585,13,11,17,1,1,yes
480,1408,yes,1.8,0,1,0,59,0.8,168,1,2,716,1470,342,8,0,8,1,0,yes
481,701,yes,0.8,0,3,0,53,0.2,87,4,7,1063,1149,1972,9,8,5,1,0,no
482,1560,yes,0.5,0,14,0,47,0.3,172,2,18,910,1908,1540,17,7,3,0,0,no
483,695,yes,1,0,4,0,51,0.8,93,5,5,174,538,2463,7,2,4,1,1,yes
484,1487,no,0.6,0,18,1,6,0.8,191,4,19,665,1072,3259,11,9,13,1,0,yes
485,1546,yes,2.7,0,3,0,55,0.2,115,7,14,1425,1594,3371,16,7,15,0,0,yes
486,511,yes,0.7,0,12,1,43,0.4,120,4,15,1291,1583,3370,16,5,6,1,0,no
487,507,no,1.1,0,5,0,33,0.6,186,1,6,535,897,2884,18,7,7,0,0,no
488,1490,yes,1.1,0,2,0,10,0.6,130,2,7,1357,1826,2994,16,1,8,1,0,yes
489,1859,no,0.5,0,0,1,52,1,187,1,2,651,966,1604,15,12,10,1,0,no
490,1257,no,1.8,0,3,1,31,0.6,155,5,10,1006,1533,2014,15,8,12,1,0,no
491,926,no,2.7,1,0,1,29,0.7,118,5,18,349,1594,2709,5,4,18,1,0,yes
492,1303,no,0.5,0,2,0,7,0.6,98,4,5,740,1908,2865,17,3,12,0,0,no
493,657,no,1.6,1,0,0,35,0.6,143,5,14,1189,1545,3617,17,14,14,0,0,yes
494,1812,no,0.9,1,9,0,44,0.2,197,3,16,299,1212,3814,9,6,13,1,1,no
495,1943,no,0.5,1,0,1,29,0.4,121,1,1,440,1126,1990,5,2,11,1,1,yes
496,1082,yes,0.9,0,4,1,24,0.9,167,7,9,425,761,1428,16,0,12,1,1,no
497,721,yes,2.6,0,1,0,49,0.6,168,4,8,35,598,3473,15,8,17,0,0,no
498,654,yes,1.5,1,2,0,56,0.7,122,1,4,441,520,2609,7,2,16,1,1,yes
499,1948,yes,0.7,0,2,0,31,0.4,122,2,7,968,1208,2070,5,3,5,1,0,yes
500,1242,no,1.8,1,4,1,56,0.1,122,1,8,753,1785,2620,18,11,3,1,0,yes
501,1453,yes,0.5,0,0,0,24,0.3,156,1,1,29,1055,1619,11,5,11,1,0,yes
502,1948,yes,2.7,0,3,1,13,0.2,164,7,12,336,587,493,18,7,18,1,1,yes
503,1232,no,0.9,0,5,0,58,1,142,6,6,1062,1393,2334,14,8,13,1,0,yes
504,795,no,0.5,1,4,1,55,0.3,155,3,11,226,1737,3030,12,8,17,1,1,no
505,1915,no,0.5,0,4,0,24,0.2,106,4,17,923,1502,345,18,10,20,0,0,yes
506,532,no,0.5,0,7,0,51,0.6,180,7,14,406,1249,1525,7,6,2,0,1,yes
507,1899,yes,0.5,0,4,1,28,0.1,95,5,7,781,1418,499,5,3,15,1,0,yes
508,1767,no,2,0,5,0,31,0.6,88,5,8,461,556,3989,13,8,7,0,1,no
509,1667,yes,2.5,0,17,0,5,0.8,119,3,20,211,1797,1496,13,9,12,0,0,no
510,1346,no,2.6,1,5,0,31,0.3,140,4,11,17,785,1287,10,6,14,1,0,yes
511,958,yes,2.4,0,1,0,54,0.9,166,7,2,121,630,3324,11,10,18,1,0,yes
512,1391,no,1.5,1,6,1,39,0.9,88,3,18,491,1737,2367,18,11,12,1,1,no
513,1176,yes,2.3,0,0,0,56,0.7,103,2,1,93,518,2974,6,5,11,1,0,yes
514,1863,no,1,1,5,1,16,0.4,113,2,19,261,684,990,6,5,13,1,0,no
515,1911,no,1.1,1,3,1,16,0.7,154,7,4,236,1568,3665,14,12,4,1,1,no
516,1789,yes,1.8,1,6,1,36,0.5,123,6,11,418,1740,815,5,0,9,1,1,no
517,972,yes,1.6,0,2,0,64,0.1,85,1,9,550,890,2759,13,7,10,1,0,no
518,1256,no,0.5,0,3,0,8,0.4,191,1,9,396,644,2991,7,6,19,1,1,no
519,1846,no,1.3,1,0,0,35,0.7,107,6,0,1336,1432,581,16,4,10,1,0,yes
520,1900,no,1.4,0,0,0,41,0.4,112,8,1,342,778,3611,14,1,6,1,0,no
521,769,yes,0.6,1,19,1,52,0.7,118,4,20,263,1786,431,15,4,19,1,0,no
522,756,no,1,0,0,0,33,0.2,177,1,3,506,573,3402,19,0,3,1,1,no
523,1728,no,2.3,1,0,1,43,0.7,152,1,0,1029,1535,3480,11,8,20,1,1,no
524,1970,no,2.9,0,3,1,9,0.2,163,2,7,110,1454,768,13,2,16,1,0,no
525,1021,no,2.1,1,6,1,47,0.3,173,6,18,224,1360,2215,13,12,2,1,1,yes
526,888,no,2.5,1,5,0,14,0.9,98,5,17,891,1432,1849,5,1,11,0,1,no
527,1419,no,0.5,0,0,0,39,0.2,189,7,1,727,1132,3435,9,2,6,0,0,no
528,1959,yes,0.5,0,0,0,30,0.1,153,3,1,901,1027,3057,14,1,18,1,0,no
529,1394,no,0.6,0,1,0,63,0.4,103,6,2,1152,1245,1731,19,18,16,1,0,no
530,1715,yes,2.5,1,2,1,30,0.9,134,7,3,1853,1971,768,19,9,15,1,0,no
531,588,no,2.9,1,1,0,40,0.3,116,6,5,185,923,2780,5,2,14,0,1,no
532,1607,yes,0.5,1,2,1,29,0.7,105,2,9,243,1234,3469,10,1,15,1,0,no
533,1171,yes,2.8,0,8,1,47,0.4,192,1,11,371,674,3092,8,2,5,1,0,yes
534,1138,no,1.5,1,0,0,57,0.2,85,4,6,1315,1569,313,16,11,20,1,1,no
535,1096,no,1.2,1,3,0,40,0.6,113,4,13,614,1757,2931,10,8,14,1,0,no
536,906,no,3,0,10,1,14,0.5,83,8,15,176,641,1761,17,11,12,1,1,no
537,740,no,3,1,0,1,47,0.7,166,3,5,417,596,3578,15,5,20,1,1,yes
538,1435,yes,0.5,1,10,1,62,0.1,150,4,14,453,664,369,8,1,4,1,0,yes
539,1745,yes,1.2,0,3,1,21,0.2,89,3,14,202,1670,3507,18,1,20,1,1,yes
540,1995,no,2.6,1,2,1,4,0.8,171,2,20,1133,1972,3452,6,3,19,1,1,no
541,1813,no,1.8,1,10,1,28,0.5,159,2,14,1655,1899,981,15,14,14,1,0,yes
542,1719,yes,1.9,1,2,0,40,0.1,118,3,12,658,1778,2534,10,6,5,0,1,yes
543,812,no,0.5,1,1,1,17,0.6,182,7,11,595,891,3248,13,10,14,1,0,no
544,987,yes,2.9,0,0,1,63,0.3,154,7,6,150,1623,2646,12,1,6,1,1,yes
545,977,yes,0.7,0,5,0,50,0.5,106,3,6,1124,1758,3454,15,14,19,1,0,yes
546,1289,yes,0.7,0,0,0,7,0.1,99,2,18,489,565,375,5,1,19,0,1,yes
547,1125,yes,0.5,0,3,0,42,0.9,158,1,20,647,751,1622,13,0,9,0,1,yes
548,1733,yes,1.9,1,14,0,28,0.8,104,3,15,749,1203,2246,18,6,12,1,1,no
549,1333,yes,1.2,1,1,0,35,0.9,198,1,4,477,651,3816,18,7,9,0,1,yes
550,964,yes,3,1,3,1,48,0.9,131,6,13,829,1154,1597,15,7,18,1,1,yes
551,1613,no,1.3,0,1,1,24,0.4,195,2,5,1141,1590,3733,15,5,5,1,0,yes
552,1123,yes,1.2,0,1,0,8,0.6,171,4,4,1096,1152,2877,17,9,12,0,1,no
553,1913,yes,2.8,0,0,1,7,0.3,136,4,16,612,1108,3227,6,0,4,1,0,yes
554,1302,no,0.5,0,3,1,20,0.6,184,7,7,1099,1202,1446,8,6,16,1,0,yes
555,797,no,1.4,1,0,1,9,0.1,104,1,14,1515,1812,1043,13,11,13,1,1,no
556,1074,yes,1.5,1,5,0,9,0.1,174,2,7,41,756,1649,16,3,3,0,1,no
557,1411,yes,2.6,0,0,0,61,0.3,165,5,3,1128,1959,483,16,5,4,1,1,no
558,1502,yes,2.2,1,0,1,16,0.5,187,5,1,492,750,3712,9,2,16,1,1,yes
559,983,yes,1.5,0,1,0,22,0.1,170,4,20,1542,1765,1694,19,15,8,1,0,yes
560,1457,no,0.5,1,7,0,8,0.3,120,7,13,786,1032,584,13,4,10,1,0,no
561,1315,yes,0.9,0,3,1,40,0.6,162,6,6,1272,1316,3431,8,2,20,1,1,no
562,1514,no,0.7,0,11,0,11,0.2,187,5,17,656,1451,2315,13,0,5,0,0,no
563,1604,yes,0.5,1,0,1,63,0.8,169,5,1,399,1360,3870,16,13,19,1,1,yes
